timestamp_sec,datetime,J1_pos,J2_pos,J3_pos,J4_pos,J5_pos,J6_pos,J1_torque,J2_torque,J3_torque,J4_torque,J5_torque,J6_torque,program_speed,Status
1779842599,43:18.6,-5.753995895,-51.22283554,-15.74586391,3.618161678,-71.92355347,-89.24854279,-0.488876671,2.680582285,2.180719614,0.557539165,-0.576764643,0.656413078,60,Abnormal
1779842600,43:19.6,-5.753995895,-51.22283554,-15.74586391,3.618161678,-71.92355347,-89.24854279,-0.516341686,2.66410327,2.183466196,0.519088149,-0.574018121,0.670145571,60,Abnormal
1779842601,43:20.6,-5.753960609,-51.37782288,-14.38750648,3.59149909,-73.27928162,-89.15911865,-0.4778907,1.016204357,3.644603014,-0.579511106,1.211205721,-0.972260356,60,Abnormal
1779842602,43:21.6,-5.753931999,-51.47108841,-12.43965149,3.557251215,-75.22344971,-89.03299713,-0.390002757,1.005218387,3.619884729,-0.587750614,1.365009665,-0.84866792,60,Abnormal
1779842603,43:22.6,-5.753903866,-51.41703796,-10.57247162,3.528813601,-77.08715057,-88.91419983,-0.340565771,2.971711159,3.891788006,-0.543806672,1.40071404,-0.887118936,60,Abnormal
1779842604,43:23.6,-5.753875732,-51.23178864,-8.767333031,3.50525403,-78.88898468,-88.80103302,-0.252677828,3.059598923,3.751716614,-0.543806672,1.532546043,-1.117824793,60,Abnormal
1779842605,43:24.7,-5.753847122,-50.93132019,-7.028455734,3.486092806,-80.62472534,-88.69334412,-0.115352929,3.268332958,3.677561045,-0.502609193,1.41170013,-1.224938154,60,Abnormal
1779842606,43:25.7,-5.753818989,-50.52567291,-5.333433151,3.470675468,-82.31671906,-88.58940125,0.010985993,3.13100791,3.55671525,-0.532820642,1.680856943,-1.197473168,60,Abnormal
1779842607,43:26.7,-5.753790379,-50.02628708,-3.681564331,3.458672285,-83.9656601,-88.4888916,0.087887943,2.817907095,3.658335686,-0.453172207,1.58198297,-1.235924244,60,Abnormal
1779842608,43:27.7,-5.753762245,-49.43953705,-2.059850693,3.449739456,-85.58451843,-88.39083099,0.1592969,3.081571102,3.493545771,-0.546553135,1.826421261,-1.293600678,60,Abnormal
1779842609,43:28.7,-5.753734112,-48.77741623,-0.474977493,3.443701982,-87.16662598,-88.2953949,0.109859928,3.059598923,3.430376291,-0.574018121,1.755012393,-1.521559954,60,Abnormal
1779842610,43:29.8,-5.753705502,-48.04394913,1.084756851,3.440346718,-88.72364044,-88.20174408,0.104366936,3.367206812,3.485306263,-0.549299657,1.930788279,-1.441911578,60,Abnormal
1779842611,43:30.8,-5.753677368,-47.24424744,2.624130249,3.43953681,-90.26033783,-88.10942078,0.115352929,3.196923971,3.564954758,-0.480637193,1.80444932,-1.491348505,60,Abnormal
1779842612,43:31.8,-5.753648758,-46.37893677,4.153394699,3.441175699,-91.78694153,-88.01766968,0.104366936,3.098049879,3.493545771,0.475144178,1.672617435,-1.430925608,60,Abnormal
1779842613,43:32.8,-5.753620148,-45.45814514,5.664606094,3.445211411,-93.29550934,-87.92687988,0.098873936,2.883823156,3.611645222,1.524306536,1.787970304,-1.570997,60,Abnormal
1779842614,43:33.9,-5.753592014,-44.47727966,7.173323631,3.451637506,-94.8015976,-87.8359375,0.07690195,2.949738979,3.578687191,1.483108997,2.043394566,-1.560011029,60,Abnormal
1779842615,43:34.9,-5.753563404,-43.44595718,8.67125988,3.460414886,-96.29689789,-87.74525452,0.098873936,3.015655041,3.430376291,1.565503955,1.897830248,-1.4226861,60,Abnormal
